Method,Accuracy,F1 (macro),Precision (macro),Recall (macro),Speed (samples/sec),RAM peak (MB),CO2 (kg),Params,Size (MB)
original,0.563543599257885,0.5494028824435262,0.5466584407648024,0.5559265803259466,11.059604169705318,1485.549568,0.00011903445716694867,109486085,417.6796226501465
unstructured_pruning,0.487012987012987,0.4183737782999442,0.4934805954468284,0.4781692930392225,10.48327773390559,1254.232064,0.00012429513405534106,109486085,417.6796226501465
dynamic_quantization,0.5533395176252319,0.5443889628805065,0.5459860913798392,0.5467838444334323,8.13061670611882,1691.967488,0.00017879632684783837,23874048,173.07640743255615
distilled_student,0.5677179962894249,0.5604828225353959,0.5634311558193659,0.5624643184396998,28.2729249817414,1538.891776,5.35720922342031e-05,66957317,255.43458652496338
